Site,canopy,shrub,tallHerb,humanMod,imperv,lawn,water
1,53.67,20,100,0,0,0,0
8,56.25,30,60,40,0,40,0
11,24,40,25,11.375,1.375,10,1
12,0,0,10,46.75,41.75,5,0
17,92.75,10,90,5,0,5,0
23,85.5,10,70,50,30,20,1
83,97.66,10,75,0,0,0,1
88,87,15,85,0,0,0,0
90,92.91,5,60,0,0,0,1
111,92.08,35,60,40,10,30,1
117,0,0,20,30,30,0,0
120,0,0,25,30,30,0,0
122,70,30,85,5,5,0,1
123,45,40,55,20,20,0,0
124,52.25,30,55,25,10,15,0
135,24,45,100,0,0,0,0
136,50,5,75,0,0,0,0
140,21.75,40,35,10,10,0,1
142,97.3,30,60,0,0,0,1
143,97.3,30,60,0,0,0,1
147,96.34,10,90,0,0,0,0
148,96.34,10,90,0,0,0,0
161,51,70,75,0,0,0,1
162,6.75,85,50,5,0,5,0
205,7.25,5,10,85,25,60,1
214,23.85,5,30,65,30,35,0
216,37.68,10,35,65,25,40,1
221,1.25,60,35,0,0,0,1
222,26.8,35,15,0,0,0,1
223,2.61,35,50,10,0,10,1
225,0,10,40,25,10,15,1
227,0,20,50,15,15,0,1
229,92.8,20,60,25,0,25,1
245,59.42,30,65,0,0,0,1
246,46.36,20,35,5,0,5,0
250,5.86,15,85,5,0,5,1
255,11,65,60,15,0,15,1
256,82.25,40,60,10,0,10,1
260,53.58,10,80,20,0,20,1
264,65.25,60,50,25,10,15,1
269,9.6,15,35,50,40,10,0
274,92.08,35,60,15,10,5,0
288,0,10,55,30,0,30,0
289,74.09,0,35,25,5,20,1
295,85.5,10,70,5,5,0,1
