site,PC1,contag,cat.mu,cat.sd,coyote.mu,coyote.sd,fox.mu,fox.sd,mink.mu,mink.sd
1,1.6657716737589017,1.863620056044972,-1.658056383,-0.546706486,-0.124437247,-0.00385725,-0.149570526,-0.005572175,-1.415785867,-0.420275905
2,-0.333851384,0.9715901554390942,-4.714509788,-2.267637148,0.94877737,-0.206435352,-0.122553158,-0.00374128,-2.765394769,-1.174499453
3,-0.825150768,-0.756182089,-5.136107987,-2.494614143,-0.467826675,-0.053500466,-2.430181106,-0.981054844,-2.80859394,-1.199418109
4,-2.874902309,-0.333953086,-5.136107987,-2.494614143,-0.467826675,-0.053500466,-2.430181106,-0.981054844,-2.80859394,-1.199418109
5,1.7270451167033076,0.13985392159753007,-0.056384164,-0.000786841,-0.341242493,-0.028757022,-0.460102373,-0.051785172,-1.833619161,-0.642421522
6,-0.117565808,-1.053918256,-1.055666506,-0.25085837,-2.1668271,-0.829936948,0.262262194,-0.017065807,-0.960582727,-0.211184216
7,1.5423969637975208,2.164393027825986,-2.122804739,-0.804858233,-0.520289184,-0.065834348,-2.158263637,-0.82505313,-2.104804048,-0.794624375
8,1.6979503636670152,0.20756182,-1.553957725,-0.49144374,-0.073448386,-0.001340222,-1.094554864,-0.267776055,-1.077228955,-0.26019139
9,1.0411971992548101,-0.402906252,-5.041414211,-2.443888689,0.504529024,-0.062004976,-0.452132579,-0.050042808,-1.703625801,-0.571274623
10,0.2132740010308147,-0.349043775,0.540674161,-0.070943277,-1.505441236,-0.466146576,-4.859812404,-2.346201684,-0.941220634,-0.203416951
11,-2.159752873,0.8890428831503846,-1.818872402,-0.634279166,0.539814354,-0.070724266,-1.935960515,-0.699357727,-2.381625536,-0.953090906
12,-2.029951098,0.9595289978141556,-1.818872402,-0.634279166,0.539814354,-0.070724266,-1.935960515,-0.699357727,-2.381625536,-0.953090906
13,1.4596377394482754,-0.705285304,-1.066338624,-0.255462761,0.363488405,-0.032577693,0.63103045,-0.095646825,-1.285500423,-0.355951769
14,0.013230275004753945,-1.265665088,-1.066338624,-0.255462761,0.363488405,-0.032577693,0.63103045,-0.095646825,-1.285500423,-0.355951769
15,-0.111728767,-1.243045013,-1.066338624,-0.255462761,0.363488405,-0.032577693,0.63103045,-0.095646825,-1.285500423,-0.355951769
16,1.4765013055114207,1.066777582333633,-2.295548455,-0.903610793,0.665111557,-0.105807822,-2.330659515,-0.923777246,-1.215099484,-0.322519695
17,0.829571287,2.0529379272087818,-2.295548455,-0.903610793,0.665111557,-0.105807822,-2.330659515,-0.923777246,-1.215099484,-0.322519695
18,-0.559666932,-1.001865094,-4.189287791,-1.980398576,-0.480904932,-0.056464055,-2.329897787,-0.923339478,-2.712917991,-1.144215336
19,1.3289980011385023,0.25964286152236155,-5.753529968,-2.822151503,-2.142863368,-0.816276625,-1.675673412,-0.556179208,-2.700461087,-1.137024856
